station,file,rmse_albedo,r2_albedo,n_albedo,rmse_totalheight,r2_totalheight,n_totalheight,bw_rmse,bw_r2,bs_rmse,bs_r2,ba_rmse,ba_r2,Start_from_restart_file,Stake_evaluation,WRF_simulation,Compression_level,Slurm_use,Full_field,Force_use_TP,Force_use_N,Tile_of_glacier_of_interest,Time_step_input_file_seconds,Max_layers,Z_measurement_height,Stability_correction,Albedo_method,Densification_method,Penetrating_method,Roughness_method,Saturation_water_vapour_method,Initial_snowheight,Initial_snow_layer_heights,Initial_glacier_height,Initial_glacier_layer_heights,Initial_top_density_snowpack,Initial_bottom_density_snowpack,Temperature_bottom,Const_init_temp,Center_snow_transfer_function,Spread_snow_transfer_function,Multiplication_factor_for_RRR_or_SNOWFALL,Minimum_snow_layer_height,Minimum_snowfall,Remesh_method,First_layer_height_log_profile,Layer_stretching_log_profile,Merge_max,Density_threshold_merging,Temperature_threshold_merging,Density_fresh_snow,Albedo_fresh_snow,Albedo_firn,Albedo_ice,Albedo_mod_snow_aging,Albedo_mod_snow_depth,t_star_wet,t_star_dry,t_star_K,t_star_cutoff,Roughness_fresh_snow,Roughness_ice,Roughness_firn,Aging_factor_roughness,Snow_ice_threshold,lat_heat_melting,lat_heat_vaporize,lat_heat_sublimation,spec_heat_air,spec_heat_ice,spec_heat_water,k_i,k_w,k_a,water_density,ice_density,air_density,sigma,zero_temperature,Surface_emission_coeff
B16,B16_stageB/output/B16_S01_ms0001047_mrrr8530_afs090541_aice0330_afirn0550_aging30_005_20010402-20201010.nc,0.15220519902854313,-0.8624757764998758,163368,0.5159789528820672,0.9990141881545128,63868,0.5286982660992472,-1.6220336090484069,0.9473990681591543,-5.106068416707101,0.940824696389498,-1.4100695286535534,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.853,0.001,0.001047,log_profile,0.01,1.2,1,5,0.01,300.0,0.90541,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001055_mrrr11212_afs087014_aice0330_afirn0550_aging30_056_20010402-20201010.nc,0.13140038062478088,-0.3881132662519804,163368,0.7253867283480095,0.9988123393320548,63868,0.6957590578114312,-3.5408820357370994,1.005762129096978,-5.881550750160609,1.5135857433497213,-5.237724804067284,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1212,0.001,0.001055,log_profile,0.01,1.2,1,5,0.01,300.0,0.87014,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001083_mrrr10389_afs091225_aice0330_afirn0550_aging30_006_20010402-20201010.nc,0.1579351817638476,-1.0053465143181017,163368,0.6093027668380376,0.9990791816678953,63868,0.589383187588549,-2.2585018239636323,1.0459698271359992,-6.442760997178712,1.3827255471523558,-4.205759827552013,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0389,0.001,0.001083,log_profile,0.01,1.2,1,5,0.01,300.0,0.91225,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001114_mrrr8234_afs09202_aice0330_afirn0550_aging30_029_20010402-20201010.nc,0.16156941973573663,-1.098698194145678,163368,0.5084906479618195,0.998977629816106,63868,0.554406298952083,-1.8832267178053055,0.9439676337913966,-5.0619167405900605,0.8823199931268433,-1.1196511667060753,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8234,0.001,0.001114,log_profile,0.01,1.2,1,5,0.01,300.0,0.9202,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001218_mrrr11563_afs09094_aice0330_afirn0550_aging30_002_20010402-20201010.nc,0.15591439029750082,-0.9543577252103663,163368,0.6865705649609412,0.9990333707693844,63868,0.7501959997441685,-4.279246856638197,1.0908831065515248,-7.095658729220572,1.6563153206430838,-6.4696145523355355,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1563,0.001,0.001218,log_profile,0.01,1.2,1,5,0.01,300.0,0.9094,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001399_mrrr8528_afs088703_aice0330_afirn0550_aging30_112_20010402-20201010.nc,0.13793434298909457,-0.5295950852462676,163368,0.5278704145543255,0.9988653252220089,63868,0.536776480561057,-1.7027721731441523,0.8871800432248154,-4.354504496409997,0.8663138849581202,-1.0434438290617232,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8528,0.001,0.001399,log_profile,0.01,1.2,1,5,0.01,300.0,0.88703,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001455_mrrr11751_afs090909_aice0330_afirn0550_aging30_025_20010402-20201010.nc,0.1545269697251298,-0.919730366527685,163368,0.7008098852990141,0.9990007342865174,63868,0.7622620001096607,-4.450433209529995,1.0850998852909903,-7.010049405867589,1.6635966911809887,-6.535433640239698,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1751,0.001,0.001455,log_profile,0.01,1.2,1,5,0.01,300.0,0.90909,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001475_mrrr9329_afs08632_aice0330_afirn0550_aging30_071_20010402-20201010.nc,0.1249054047453771,-0.254278911279074,163368,0.6056596090532804,0.998701057030386,63868,0.5039335228691812,-1.3821493219370713,0.8811126036614373,-4.281515841574818,0.992690851874518,-1.6831205970932164,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.9329,0.001,0.001475,log_profile,0.01,1.2,1,5,0.01,300.0,0.8632,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001502_mrrr10476_afs088127_aice0330_afirn0550_aging30_073_20010402-20201010.nc,0.13503989241712924,-0.466073774050183,163368,0.6579805526225548,0.9988408851304675,63868,0.5682467840820243,-2.0289803440007432,0.9696291726689681,-5.39598013826609,1.2822194342420858,-3.4764822212046456,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0476,0.001,0.001502,log_profile,0.01,1.2,1,5,0.01,300.0,0.88127,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001521_mrrr8198_afs08631_aice0330_afirn0550_aging30_137_20010402-20201010.nc,0.12947753941536327,-0.3477847352579051,163368,0.5382327719045128,0.9985671003215165,63868,0.5757900840584531,-2.1099316539926476,0.8252659045184154,-3.633226858762508,0.8704979074346707,-1.0632298708466608,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8198,0.001,0.001521,log_profile,0.01,1.2,1,5,0.01,300.0,0.8631,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001677_mrrr8691_afs08614_aice0330_afirn0550_aging30_090_20010402-20201010.nc,0.12840112001404985,-0.32546810700494966,163368,0.565742022606807,0.9985956711458605,63868,0.5367072525484947,-1.7020750655505474,0.8433210635762458,-3.838175916396837,0.9193554224696934,-1.3013307353280656,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8691,0.001,0.001677,log_profile,0.01,1.2,1,5,0.01,300.0,0.8614,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001712_mrrr8404_afs092919_aice0330_afirn0550_aging30_045_20010402-20201010.nc,0.16477408362651122,-1.1827774998283012,163368,0.5054700456086195,0.9989441913588085,63868,0.5692920743287476,-2.0401342150992017,0.9255136790457033,-4.82722038854616,0.8460331524215227,-0.9488881586607256,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8404,0.001,0.001712,log_profile,0.01,1.2,1,5,0.01,300.0,0.92919,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001804_mrrr9420_afs087429_aice0330_afirn0550_aging30_048_20010402-20201010.nc,0.12979679398047642,-0.3544394324830049,163368,0.5929317236014685,0.9987418772765625,63868,0.5062198570678418,-1.4038138641115046,0.8880422892335255,-4.36491758840281,0.986109823969586,-1.6476631114143006,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.942,0.001,0.001804,log_profile,0.01,1.2,1,5,0.01,300.0,0.87429,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001813_mrrr8135_afs088138_aice0330_afirn0550_aging30_078_20010402-20201010.nc,0.1373278273471584,-0.5161729937854362,163368,0.5063564129404116,0.9987065675740481,63868,0.6034865982711469,-2.416313696451807,0.8340040675534497,-3.7318622920989437,0.8236497484651205,-0.84712928623212,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8135,0.001,0.001813,log_profile,0.01,1.2,1,5,0.01,300.0,0.88138,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001831_mrrr11763_afs091596_aice0330_afirn0550_aging30_009_20010402-20201010.nc,0.15731870687711658,-0.989721964967716,163368,0.7048304491536349,0.9989566616354822,63868,0.7324192075032259,-4.032015057597231,1.0701968972974152,-6.791536953148191,1.6086403633212032,-6.045796201089775,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1764,0.001,0.001831,log_profile,0.01,1.2,1,5,0.01,300.0,0.91596,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0001892_mrrr9406_afs091371_aice0330_afirn0550_aging30_034_20010402-20201010.nc,0.15402125822279913,-0.9071857454790841,163368,0.5495416998529112,0.998981659816168,63868,0.5151226160280535,-1.489107865660745,0.9523938048632377,-5.17062114663447,1.0248991905156595,-1.8600554557355946,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.9406,0.001,0.001892,log_profile,0.01,1.2,1,5,0.01,300.0,0.91371,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0002003_mrrr10407_afs089847_aice0330_afirn0550_aging30_109_20010402-20201010.nc,0.1441572609106208,-0.6707239640364562,163368,0.6220119555694944,0.9989088011574253,63868,0.5448577871651307,-1.784766632002793,0.9681149018503978,-5.376018520725648,1.2194688870045731,-3.049054315718151,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0407,0.001,0.002003,log_profile,0.01,1.2,1,5,0.01,300.0,0.89847,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0002037_mrrr11540_afs09074_aice0330_afirn0550_aging30_033_20010402-20201010.nc,0.15065342680836913,-0.8246925032880992,163368,0.6994635783820199,0.9988976839823273,63868,0.6817119522173788,-3.359375696967258,1.0333912778910563,-6.264828108200316,1.5046988948240647,-5.164691638543358,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.1541,0.001,0.002038,log_profile,0.01,1.2,1,5,0.01,300.0,0.9074,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0002184_mrrr9387_afs086299_aice0330_afirn0550_aging30_129_20010402-20201010.nc,0.12755629286745737,-0.3080834058044517,163368,0.5978083899098535,0.9985760294438905,63868,0.5162479546601983,-1.4999951720539384,0.8560370889154555,-3.9851809019282607,0.9842947820003125,-1.6379254596453325,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.9387,0.001,0.002184,log_profile,0.01,1.2,1,5,0.01,300.0,0.86299,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0002214_mrrr9871_afs091104_aice0330_afirn0550_aging30_019_20010402-20201010.nc,0.15122186682533328,-0.8384882074472717,163368,0.5725067437822731,0.9989542804652914,63868,0.5179040231154685,-1.51606033495304,0.9541372771217339,-5.193233964827792,1.0821549502349719,-2.188534017453061,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.9871,0.001,0.002214,log_profile,0.01,1.2,1,5,0.01,300.0,0.91104,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0002286_mrrr8832_afs090527_aice0330_afirn0550_aging30_057_20010402-20201010.nc,0.14602915476055991,-0.7143946439914672,163368,0.5210369087528589,0.9988489331762718,63868,0.5572369411442398,-1.9127437635992721,0.8826626927471365,-4.300115101921646,0.8429882011774643,-0.9348849475214014,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,0.8832,0.001,0.002286,log_profile,0.01,1.2,1,5,0.01,300.0,0.90527,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
B16,B16_stageB/output/B16_S01_ms0002291_mrrr10791_afs090333_aice0330_afirn0550_aging30_036_20010402-20201010.nc,0.14676175299148694,-0.731639322810238,163368,0.6423844119284804,0.9988896171956343,63868,0.5689050173871084,-2.0360016965255956,0.9796230853444875,-5.528505609148087,1.2752306231282045,-3.42781656113341,False,False,False,2,False,False,False,False,False,3600,200,2.0,Ri,Oerlemans98,Boone,Bintanja95,Moelg12,Sonntag90,0.2,0.1,200.0,0.5,300.0,600.0,270.16,0.1,1.0,1,1.0791,0.001,0.002291,log_profile,0.01,1.2,1,5,0.01,300.0,0.90333,0.55,0.33,30,3,10,30,14,263.17,0.24,1.7,4.0,0.0026,900.0,334000.0,2500000.0,2834000.0,1004.67,2050.0,4217.0,2.22,0.55,0.024,1000.0,917.0,1.1,5.67e-08,273.16,0.99
