#stake	ar	d1	d2	d3	x	y	h	dw	rhow	imw	ds	rhos	ims	nswe	bw_str	bs_str	ba_str	bw_fld	bs_fld	ba_fld
B16	1993		1993-04-30	1993-09-24	610966	434287	1526	4.04	495.0		4.23	600.0		0.04	2.0	0.54	2.54	2.0	0.58	2.58
B16	1994	1993-09-25	1994-05-08	1994-09-15	611597	434220	1527	4.87	476.0		3.45	600.0			2.32	-0.25	2.07	2.28	-0.25	2.03
B16	1995	1994-09-15	1995-06-11	1995-09-28	611635	434251	1524	4.43	458		2.27	600.0		0.05	2.03	-0.67	1.36	2.03	-0.62	1.41
B16	1996	1995-09-28	1996-04-27	1996-08-30	610908	434330	1517	4.43	424.0		2.64	600.0			1.88	-0.29	1.58	1.83	-0.29	1.54
B16	1997	1996-08-30	1997-05-13	1997-09-19	610882	434263	1521	3.63	438.0		0.72	600.0		0.03	1.59	-1.16	0.43	1.59	-1.13	0.46
B16	1998	1997-09-19	1998-05-03	1998-09-26	610896	434311	1517	4.14	480.0		1.95	600.0		0.04	1.99	-0.82	1.17	1.96	-0.78	1.18
B16	1999	1998-09-26	1999-05-06	1999-09-22	610884	434309	1521	3.71	437.0		2.13	600.0		0.18	1.62	-0.34	1.28	1.59	-0.16	1.43
B16	2000	1999-09-22	2000-05-04	2000-09-17	610892	434329	1521	4.82	465.0		2.62	600.0		0.04	2.24	-0.67	1.57	2.06	-0.64	1.43
B16	2001	2000-09-17	2001-04-25	2001-09-17	610880	434338	1522	4.08	448.0		2.47	600.0		0.1	1.83	-0.35	1.48	1.79	-0.24	1.55
B16	2002	2001-09-17	2002-05-03	2002-09-14	610888	434338	1524	5.04	466.0		3.24	600.0		0.17	2.35	-0.41	1.94	2.24	-0.23	2.01
B16	2003	2002-09-14	2003-05-03	2003-09-24	610896	434369	1523	5.29	500.0		2.68	600.0		0.16	2.64	-1.03	1.61	2.47	-0.88	1.59
B16	2004	2003-09-24	2004-04-27	2004-09-27	610892	434373	1525	4.74	466.0		2.43	600.0		0.17	2.21	-0.75	1.46	2.05	-0.57	1.48
B16	2005	2004-09-27	2005-05-03	2005-10-03	610880	434370	1522	3.61	444.0		1.05	600.0	0.0	0.24	1.6	-0.97	0.63	1.43	-0.73	0.7
B16	2006	2005-10-03	2006-04-30	2006-09-23	610871	434377	1523	4.81	458.0		3.12	600.0	0.0	0.04	2.2	-0.33	1.87	1.96	-0.3	1.66
B16	2007	2006-09-23	2007-05-05	2007-10-08	610888	434378	1523	4.81	483.0		2.39	600.0	0.0	0.16	2.33	-0.89	1.43	2.29	-0.73	1.56
B16	2008	2007-10-08	2008-05-03	2008-10-01	610878	434398	1523	4.72	473.0		2.78	600.0	0.0	0.23	2.23	-0.56	1.67	2.07	-0.34	1.74
B16	2009	2008-10-01	2009-05-14	2009-10-14	610875	434402	1523	5.54	465.0		3.78	600.0	0.0	0.37	2.58	-0.31	2.27	2.35	0.06	2.41
B16	2010	2009-10-14	2010-05-05	2010-10-08	610866	434407	1522	3.41	468.0				0.08	0.34	1.6	-1.68	-0.08	1.23	-1.34	-0.11
B16	2011	2010-10-08	2011-05-06	2011-10-21	610889	434329	1522	5.28	506.0		3.3	600.0	0.0	0.39	2.67	-0.69	1.98	2.34	-0.3	2.03
B16	2012	2011-10-21	2012-05-07	2012-10-14	610880	434328	1521	4.46	473.0		1.02	600.0	0.0	0.39	2.11	-1.49	0.61	1.72	-1.11	0.61
B16	2013	2012-10-14	2013-05-08	2013-10-07	611817	435385	1522	4.6	467.0		2.89	600.0	0.0	0.14	2.14	-0.41	1.73	1.76	-0.27	1.49
B16	2014	2013-10-07	2014-05-05	2014-10-16	611816	435396	1523	4.56	481.0		2.44	600.0	0.0	0.37	2.19	-0.73	1.46	2.05	-0.36	1.69
B16	2015	2014-10-16	2015-05-10	2015-10-28	611816	435396	1523	5.33	476.0		3.88	600.0	0.0	0.32	2.36	-0.03	2.33	1.99	0.29	2.27
B16	2016	2015-10-28	2016-05-07	2016-10-14	611821	435383	1526	4.5	478.0		2.08	600.0	0.0	0.48	2.15	-0.91	1.25	1.84	-0.43	1.41
B16	2017	2016-10-14	2017-05-07	2017-10-25	611822	435397	1526	5.08	574.0		3.97	600.0	0.0	0.28	2.92	-0.53	2.38	2.44	-0.25	2.19
B16	2018	2017-10-25	2018-05-09	2018-10-09	611810	435399	1527	5.46	476.0		3.46	600.0	0.0	0.29	2.6	-0.53	2.07	2.32	-0.24	2.08
B16	2019	2018-10-09	2019-05-30	2019-10-19	611796	435402	1525	4.68	495.0		1.92	600.0	0.0	0.35	2.32	-1.16	1.15	2.03	-0.81	1.21
B16	2020	2019-10-19	2020-05-01	2020-10-09	611789	435398	1527	5.03	485.0		2.42	600.0	0.0	0.35	2.44	-0.99	1.45	2.09	-0.64	1.45
B16	2021	2020-10-09	2021-05-03	2021-10-15	611781	435387	1526	3.72	466		1.17	600.0		0.24	1.73	-1.03	0.7	1.38	-0.79	0.59
B16	2022	2021-10-15	2022-05-05	2022-10-17	611782	435393	1527	6.36	458		4.59	600.0		0.06	2.92	-0.16	2.75	2.67	-0.1	2.57
B16	2023	2022-10-17	2023-05-08	2023-10-23	611762	435388	1526	3.89	479.0		1.81	600.0		0.38	1.86	-0.78	1.09	1.8	-0.4	1.41
