#stake	ar	d1	d2	d3	x	y	h	dw	rhow	imw	ds	rhos	ims	nswe	bw_str	bs_str	ba_str	bw_fld	bs_fld	ba_fld
B10	1993		1993-04-29	1993-09-25	637484	472803	866	1.7	459.0				1.61		0.78	-2.39	-1.61	0.78	-2.39	-1.61
B10	1994	1993-09-25	1994-05-08	1994-09-15	637515	472875	881	1.43	517.0				2.35		0.74	-3.09	-2.35	0.74	-3.09	-2.35
B10	1995	1994-09-15	1995-06-11	1995-09-27	637479	472881	846	2.04	539				2.09	0.0	1.1	-3.19	-2.09	1.1	-3.19	-2.09
B10	1996	1995-09-27	1996-05-05	1996-10-01	637525	472911	872	1.85	459.0				3.25	0.0	0.85	-4.11	-3.25	0.85	-4.11	-3.25
B10	1997	1996-10-01	1997-05-18	1997-10-18	637541	472903	867	0.76	493.0				3.9	0.14	0.38	-4.27	-3.9	0.38	-4.13	-3.76
B10	1998	1997-10-18	1998-05-04	1998-10-19	637499	472860	867	0.78	433.0				3.27	0.19	0.34	-3.6	-3.27	0.2	-3.41	-3.21
B10	1999	1998-10-19	1999-05-06	1999-11-08	637520	472844	866	1.44	490.0				3.14	0.17	0.71	-3.85	-3.14	0.51	-3.67	-3.16
B10	2000	1999-11-08	2000-05-02	2000-10-07	637585	472821	862	0.41	466.0				4.88	0.0	0.19	-5.07	-4.88	0.02	-5.07	-5.05
B10	2001	2000-10-07	2001-05-02	2001-09-17	637587	472824	859	1.92	490.0				2.43	0.0	0.94	-3.37	-2.43	0.94	-3.37	-2.43
B10	2002	2001-09-17	2002-05-04	2002-09-13	637581	472822	858	0.96	348.0				3.14	0.0	0.33	-3.48	-3.14	0.33	-3.48	-3.14
B10	2003	2002-09-13	2003-05-08	2003-09-30	637581	472824	848	0.8	480.0				3.51	0.02	0.38	-3.89	-3.51	0.38	-3.87	-3.49
B10	2004	2003-09-30	2004-04-28	2004-09-30	637583	472822	842	0.35	809.0				4.69	0.0	0.28	-4.97	-4.69	0.27	-4.97	-4.71
B10	2005	2004-09-30	2005-05-05	2005-10-05	637582	472822	839	0.05	800.0				4.57	0.07	0.04	-4.61	-4.57	0.04	-4.54	-4.5
B10	2006	2005-10-05	2006-05-01	2006-09-23	637583	472823	838	0.88	513.0				4.89	0.02	0.45	-5.35	-4.89	0.38	-5.33	-4.95
B10	2007	2006-09-23	2007-05-10	2007-10-07	637583	472826	831	0.15	593.0				4.09	0.0	0.09	-4.17	-4.09	0.07	-4.17	-4.1
B10	2008	2007-10-07	2008-05-03	2008-10-02	637585	472827	828	1.36	417.0				4.39	0.26	0.57	-4.96	-4.39	0.57	-4.7	-4.13
B10	2009	2008-10-02	2009-05-15	2009-10-14	637583	472828	823	1.25	549.0				3.93	0.04	0.69	-4.62	-3.93	0.42	-4.58	-4.16
B10	2010	2009-10-14	2010-05-06	2010-10-07	637583	472829	819	1.06	619.0				4.89	0.01	0.62	-5.51	-4.89	0.58	-5.5	-4.92
B10	2011	2010-10-07	2011-05-05	2011-10-21	637583	472830	813	0.48	636.0				3.4	0.04	0.3	-3.71	-3.4	0.3	-3.67	-3.38
B10	2012	2011-10-21	2012-05-10	2012-10-10	637583	472830	809	0.37	490.0				4.5	0.14	0.18	-4.69	-4.5	0.15	-4.55	-4.4
B10	2013	2012-10-10	2013-05-06	2013-10-03	637583	472832	805	1.52	472.0				3.46	0.0	0.72	-4.18	-3.46	0.58	-4.18	-3.6
B10	2014	2013-10-03	2014-05-06	2014-10-12	637585	472834	801	1.52	554.0				4.0	3.5	0.84	-4.84	-4.0	0.84	-1.34	-0.5
B10	2015	2014-10-12	2015-05-11	2015-10-24	637585	472834	801	1.23	420.0				2.77	0.04	0.52	-3.29	-2.77	-2.98	-3.25	-6.23
B10	2016	2015-10-24	2016-05-07	2016-10-11	637586	472834	793	1.33	509.0				4.22	0.0	0.68	-4.9	-4.22	0.64	-4.9	-4.26
B10	2017	2016-10-11	2017-05-05	2017-12-15	637582	472836	787	0.3	600.0				4.67	0.07	0.18	-4.85	-4.67	0.18	-4.78	-4.6
B10	2018	2017-12-15	2018-05-10	2018-10-09	637584	472831	782	0.6	713.0				4.32		0.43	-4.75	-4.32	0.36	-4.75	-4.39
