#stake	ar	d1	d2	d3	x	y	h	dw	rhow	imw	ds	rhos	ims	nswe	bw_str	bs_str	ba_str	bw_fld	bs_fld	ba_fld
B13	1993		1993-04-30	1993-09-24	628090	455157	1204	2.96	453.0		1.08	600.0			1.34	-0.69	0.65	1.34	-0.69	0.65
B13	1994	1993-09-25	1994-06-20	1994-09-15	628103	455184	1201									-1.2			-1.2	
B13	1995	1994-09-15	1995-06-11	1995-09-28	627952	455345	1241	2.76	471				0.49	0.05	1.3	-1.79	-0.49	1.3	-1.74	-0.44
B13	1997		1997-05-17	1997-09-19	627964	455361	1207	2.4	458.0				1.18	0.08	1.1	-2.28	-1.18	1.1	-2.2	-1.1
B13	1998	1997-09-19	1998-05-04	1998-09-26	628001	455387	1197	2.09	429.0				0.73	0.29	0.9	-1.62	-0.73	0.82	-1.33	-0.52
B13	1999	1998-09-26	1999-05-05	1999-09-22	628033	455368	1205	2.97	465.0				0.14	0.1	1.38	-1.52	-0.14	1.09	-1.41	-0.32
B13	2000	1999-09-22	2000-05-02	2000-09-14	627960	455287	1205	2.17	454.0				1.0	0.0	0.99	-1.98	-1.0	0.88	-1.98	-1.1
B13	2001	2000-09-14	2001-05-03	2001-09-17	627960	455308	1208	3.49	460.0		0.26	600.0		0.0	1.61	-1.45	0.16	1.61	-1.45	0.16
B13	2002	2001-09-17	2002-05-03	2002-09-13	627946	455330	1212	3.05	430.0				0.53	0.0	1.31	-1.84	-0.53	1.31	-1.84	-0.53
B13	2003	2002-09-13	2003-05-08	2003-09-30	627941	455344	1209	3.78	520.0				0.28	0.13	1.97	-2.25	-0.28	1.97	-2.12	-0.15
B13	2004	2003-09-30	2004-04-28	2004-09-27	627952	455382	1206	2.79	520.0				0.85	0.09	1.45	-2.3	-0.85	1.32	-2.21	-0.89
B13	2005	2004-09-27	2005-05-04	2005-10-05	627949	455396	1208	2.31	434.0				1.67	0.2	1.0	-2.68	-1.67	0.92	-2.48	-1.56
B13	2006	2005-10-05	2006-05-01	2006-09-23	627948	455386	1209	2.89	470.0				0.26	0.07	1.36	-1.62	-0.26	1.16	-1.55	-0.39
B13	2007	2006-09-23	2007-05-10	2007-10-07	627931	455373	1210	2.28	554.0				0.63	0.14	1.26	-1.89	-0.63	1.19	-1.75	-0.56
B13	2008	2007-10-07	2008-05-03	2008-10-02	627933	455375	1211	3.17	437.0				0.5	0.09	1.39	-1.89	-0.5	1.25	-1.8	-0.56
B13	2009	2008-10-02	2009-05-14	2009-10-14	627935	455370	1211	2.91	480.0				0.1	0.16	1.4	-1.49	-0.1	1.31	-1.33	-0.02
B13	2010	2009-10-14	2010-05-05	2010-10-07	627920	455354	1212	2.86	492.0				1.3	0.04	1.41	-2.71	-1.3	1.25	-2.67	-1.43
B13	2011	2010-10-07	2011-05-06	2011-10-20	627934	455319	1212	3.12	551.0		1.32	600.0	0.0	0.21	1.72	-0.93	0.79	1.69	-0.72	0.96
B13	2012	2011-10-20	2012-05-09	2012-10-09	627941	455365	1212	2.8	520.0				0.85	0.3	1.46	-2.31	-0.85	1.25	-2.01	-0.77
B13	2013	2012-10-09	2013-05-06	2013-10-03	627949	455342	1212	3.46	436.0				0.1	0.06	1.51	-1.61	-0.1	1.21	-1.55	-0.34
B13	2014	2013-10-03	2014-05-06	2014-10-12	627964	455357	1213	3.46	506.0		0.1	600.0	0.0	0.13	1.75	-1.69	0.06	1.69	-1.56	0.13
B13	2015	2014-10-12	2015-05-11	2015-10-23	627964	455357	1213	4.38	476.0		2.14	600.0	0.0	0.06	2.09	-0.8	1.28	1.95	-0.74	1.21
B13	2016	2015-10-23	2016-05-07	2016-10-11	627985	455375	1215	3.26	473.0		0.08	600.0	0.0	0.1	1.54	-1.49	0.05	1.48	-1.39	0.09
B13	2017	2016-10-11	2017-05-04	2017-10-24	627988	455374	1215	2.58	551.0				0.21	0.12	1.42	-1.64	-0.21	1.32	-1.52	-0.2
B13	2018	2017-10-24	2018-05-10	2018-10-09	627991	455394	1217	3.45	458.0		0.63	600.0	0.0	0.19	1.58	-1.2	0.38	1.46	-1.01	0.45
B13	2019	2018-10-09	2019-05-03	2019-10-19	628019	455491	1215	3.28	542.0				0.04	0.15	1.78	-1.82	-0.04	1.59	-1.67	-0.08
B13	2020	2019-10-19	2020-05-01	2020-10-09	628031	455472	1218	3.47	458.0				0.01	0.16	1.59	-1.6	-0.01	1.44	-1.44	-0.01
B13	2021	2020-10-09	2021-05-02	2021-10-15	628020	455466	1219	3.38	476				-0.57	0.22	1.61	-2.18	-0.57	1.45	-1.96	-0.51
B13	2022	2021-10-15	2022-05-03	2022-10-17	628038	455468	1219	3.45	509		0.34	600.0		0.2	1.76	-1.55	0.2	1.54	-1.35	0.18
B13	2023	2022-10-17	2023-05-04	2023-10-26	628035	455472	1219	3.14	519.0				-0.38	0.35	1.63	-2.01	-0.38	1.43	-1.66	-0.23
