#stake     ar       d1       d2       d3      x      y    h   dw rhow   imw   ds rhos   ims  nswe bw_str bs_str ba_str bw_fld bs_fld ba_fld
B07      2011 20101007 20110511 20111020 630492 439245 1354  4.98 525    NA  2.58 600   .00   .34   2.61  -1.06   1.55   2.33   -.72   1.61
B09      2011 20101007 20110505 20111021 638440 475398  762   .15 590    NA    NA  NA  3.69   .02    .09  -3.78  -3.69    .09  -3.76  -3.67
B10      2011 20101007 20110505 20111021 637583 472830  813   .48 636    NA    NA  NA  3.40   .04    .30  -3.71  -3.40    .30  -3.67  -3.38
B11      2011 20101007 20110505 20111021 634803 467599  962  1.00 668    NA    NA  NA  2.00   .04    .67  -2.67  -2.00    .67  -2.63  -1.97
B12      2011 20101007 20110505 20111021 632092 462515 1077  2.11 613    NA    NA  NA   .20   .08   1.29  -1.49   -.20   1.27  -1.41   -.14
B13      2011 20101007 20110506 20111020 627934 455319 1212  3.12 551    NA  1.32 600   .00   .21   1.72   -.93    .79   1.69   -.72    .96
B14      2011 20101007 20110506 20111020 624224 449858 1310  3.55 511    NA  1.19 600   .00   .22   1.81  -1.10    .71   1.73   -.88    .85
B15      2011 20101007 20110506 20111020 620217 443853 1398  4.65 504    NA  2.39 600   .00   .36   2.34   -.91   1.43   2.17   -.55   1.62
B16      2011 20101008 20110506 20111021 610889 434329 1522  5.28 506    NA  3.30 600   .00   .39   2.67   -.69   1.98   2.34   -.30   2.03
B17      2011 20101007 20110506 20111020 620562 459169 1208  2.30 554    NA   .78 600   .00   .10   1.27   -.80    .47   1.25   -.70    .56
B18      2011 20101006 20110505 20111020 643860 450590 1308  4.79 460    NA  2.88 600   .00   .38   2.20   -.48   1.73   2.10   -.10   2.00
B19      2011 20101006 20110504 20111019 648158 444025 1427  6.16 496    NA  5.23 600   .00   .60   3.06    .08   3.14   2.65    .68   3.33
BB0      2011 20101006 20110503 20111019 640684 433979 1517  6.58 487    NA  5.08 600   .00   .59   3.21   -.16   3.04   2.81    .43   3.24
Bor      2011       NA 20110531 20111023 580202 435909 1399  4.94 560    NA  2.67 600   .00   .31   2.78  -1.18   1.60   2.78   -.87   1.91
Borth-low 2011 20101010 20110508 20111023 581003 436252 1396  5.10 450    NA   .24 600   .00   .35   2.29  -2.15    .14   2.29  -1.80    .49
Borth-ridge 2011 20101010 20110508 20111023 581003 436252 1396  5.10 450    NA  1.96 600   .00    NA   2.29  -1.12   1.18   2.29  -1.12   1.18
Br1      2011 20101013 20110501 20111001 630441 401540  124    NA  NA  1.91    NA  NA 10.19   .00  -1.91 -10.19 -12.10  -1.91 -10.19 -12.10
